shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint

0.0,-1.0,0.5,0.0,0.0,0.0
0.02014435657611082,-0.9811171608976146,0.49984146115376804,0.0,0.0,0.0
0.04027593850002299,-0.9622612629870922,0.49936594515333516,0.0,0.0,0.0
0.06038197922065235,-0.9434592090218066,0.4985737535497337,0.0,0.0,0.0
0.08044972838400632,-0.9247378249329934,0.497465388715535,0.0,0.0,0.0
0.10046645991888961,-0.9061238215557101,0.496041553526267,0.0,0.0,0.0
0.12041948010721067,-0.887643756519009,0.49430315091468235,0.0,0.0,0.0
0.14029613563377152,-0.8693239963546967,0.49225128329815837,0.0,0.0,0.0
0.16008382161043566,-0.8511906788787447,0.48988725187959314,0.0,0.0,0.0
0.17976998956958568,-0.8332696758990197,0.48721255582224093,0.0,0.0,0.0
0.19934215542180175,-0.8155865563025433,0.4842288912990096,0.0,0.0,0.0
0.2187879073727139,-0.7981665495749457,0.48093815041682336,0.0,0.0,0.0
0.2380949137940086,-0.7810345098041614,0.47734242001673294,0.0,0.0,0.0
0.2572509310435968,-0.7642148802197266,0.4734439803505345,0.0,0.0,0.0
0.27624381122998604,-0.74773165831827,0.469245303634735,0.0,0.0,0.0
0.2950615099159308,-0.7316083616249566,0.4647490524827834,0.0,0.0,0.0
0.31369209375647733,-0.7158679941397313,0.4599580782165597,0.0,0.0,0.0
0.33212374806655903,-0.7005330135162406,0.4548754190581939,0.0,0.0,0.0
0.35034478431334176,-0.6856252990202536,0.449504298203361,0.0,0.0,0.0
0.36834364752857085,-0.6711661203133025,0.44384812177727423,0.0,0.0,0.0
0.38610892363621563,-0.6571761071060794,0.43791047667467226,0.0,0.0,0.0
0.4036293466907679,-0.6436752197248861,0.4316951282851707,0.0,0.0,0.0
0.4208938060216012,-0.630682720633131,0.42520601810541997,0.0,0.0,0.0
0.437891353278863,-0.6182171469485069,0.4184472612395839,0.0,0.0,0.0
0.45461120937642985,-0.6062962839950585,0.41142314378972444,0.0,0.0,0.0
